time,sum_hh_low_HH,sum_hh_med_HH,sum_hh_high_HH,sum_occ_low_BG,sum_occ_med_BG,sum_occ_high_BG,mean_price_low_BG,mean_price_med_BG,mean_price_high_BG,seed
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1000.0
1,12230,13247,11720,12328,13258,11611,111970.91448616295,208017.3775690754,389702.4297153793,1000.0
2,12370,13429,12135,12577,13386,11971,112839.04338547261,209015.11737147497,396425.4360109599,1000.0
3,12304,13421,12387,12680,13394,12038,114275.06329165018,210186.8107363757,402934.18154574797,1000.0
4,12200,13311,12460,12679,13308,11984,115925.11949183422,211533.42896330776,410121.1042901029,1000.0
5,12127,13253,12615,12701,13316,11978,117776.13409502899,212729.54388147203,418820.93462056655,1000.0
6,11949,13075,12713,12609,13175,11953,119509.14050387584,213871.71221786385,426087.9044097655,1000.0
7,11844,12942,12815,12628,13076,11897,121223.76606714822,215003.6548342532,432846.23513713805,1000.0
8,11705,12753,12878,12552,12930,11854,123556.44711562851,216248.3476844679,438985.1555592141,1000.0
9,11201,12241,12589,12069,12442,11520,125830.30224855039,217383.40545473254,446306.241032111,1000.0
10,11152,12128,12620,12093,12337,11470,127521.29369452478,218537.75875914053,453381.20067681203,1000.0
11,10920,11889,12520,11921,12189,11219,129403.60682506266,219524.37132488543,462373.77437504224,1000.0
12,10901,11795,12653,11907,12218,11224,131022.70170414337,220569.25574748954,472366.1973925898,1000.0
13,10705,11665,12696,11819,12126,11121,132571.77609712607,221610.76367369268,479962.76487362274,1000.0
14,10666,11621,12835,11830,12104,11188,134050.58785482007,222618.05836079226,488255.8883341287,1000.0
15,10568,11543,12978,11801,12083,11205,135873.27956102946,223751.16456903145,498012.82417004276,1000.0
16,10299,11315,12998,11623,11948,11041,137583.52103336525,224898.77973613067,515239.1393477454,1000.0
17,10265,11230,13167,11635,11935,11092,139485.75611660854,225983.75161505747,523323.4646262939,1000.0
18,10148,11120,13257,11606,11909,11010,141288.29184968787,227182.68871155925,535332.7045787771,1000.0
19,9958,10885,13211,11493,11742,10819,142927.15433397383,228323.1819230052,546536.6911405355,1000.0
20,9934,10904,13285,11532,11740,10851,144941.5472626281,229300.5196520574,559320.2680784212,1000.0
21,9974,10935,13479,11610,11807,10971,146848.23474340886,230460.95266868992,568000.5541108171,1000.0
22,9977,10936,13700,11618,11904,11091,149301.8758790246,231670.53902867073,577605.0053367073,1000.0
23,9986,10997,13948,11664,12043,11224,152747.4412679235,232939.45843857148,588337.4921455673,1000.0
24,9941,11024,14161,11718,12119,11289,155792.6185752911,234548.37363631694,597815.0744852589,1000.0
25,9842,11004,14311,11730,12142,11285,159001.9015616383,236123.90952776588,610437.3417559623,1000.0
