time,sum_hh_low_HH,sum_hh_med_HH,sum_hh_high_HH,sum_occ_low_BG,sum_occ_med_BG,sum_occ_high_BG,mean_price_low_BG,mean_price_med_BG,mean_price_high_BG,seed
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1000.0
1,11522,13151,11641,12134,12948,11232,112144.52076281157,208026.73707474238,388993.0298894566,1000.0
2,11172,13084,11951,11890,12764,11553,114073.50620310393,208713.46987113962,394811.0571717906,1000.0
3,10987,12974,12233,11863,12716,11615,115819.14236482387,209633.95026637305,400826.1602623418,1000.0
4,10706,12802,12452,11792,12587,11581,118290.04409036017,210480.7700078246,408956.43395604833,1000.0
5,10565,12675,12687,11815,12524,11588,120494.17626923158,211521.5130010489,417516.9829102584,1000.0
6,10323,12402,12809,11706,12307,11521,122808.3309808851,212510.8627096777,426350.1423193347,1000.0
7,10137,12232,12930,11618,12216,11465,124634.09562889705,213631.27222877822,438465.7083353753,1000.0
8,10006,12108,13091,11584,12163,11458,126474.2798679697,214711.25478110652,446860.452280946,1000.0
9,9688,11608,12738,11237,11714,11083,128108.5840083041,215523.43062539448,455744.4338952737,1000.0
10,9657,11458,12776,11191,11715,10985,129017.10953735889,216188.34686076452,462054.92989155964,1000.0
11,9414,11195,12704,10960,11545,10808,130151.82511531631,216838.27885286722,469541.9011263506,1000.0
12,9331,11120,12822,10945,11539,10789,131331.66965345605,217572.3849317547,478146.61081021535,1000.0
13,9167,10976,12936,10892,11478,10709,132395.92725473628,218501.59645919362,487764.5319771181,1000.0
14,9126,10984,13130,10954,11504,10782,133571.70144448045,219345.54112300163,495714.87806056597,1000.0
15,9073,10956,13302,11002,11507,10822,134889.18784553854,220516.10388101905,502856.38754096394,1000.0
16,8894,10769,13356,10964,11357,10698,136139.82257559846,221635.52972526356,515274.3865963482,1000.0
17,8896,10777,13494,10981,11390,10796,137267.47451621696,222484.96782031047,523134.13343082624,1000.0
18,8792,10660,13622,11021,11313,10740,138705.8250457107,223416.9625647672,533389.88405544,1000.0
19,8612,10416,13709,10795,11268,10674,140658.12191575053,224218.71722892494,545205.5876172864,1000.0
20,8665,10417,13821,10875,11315,10713,141855.6453132832,225172.4338570335,557936.4267921941,1000.0
21,8758,10452,14025,10992,11417,10826,142854.7032064054,226208.63766624284,569019.7806021787,1000.0
22,8776,10488,14277,11089,11497,10955,144067.26822210164,227229.91443449195,580257.5753176645,1000.0
23,8797,10585,14563,11207,11599,11139,145230.9896466766,228359.7910568182,590984.9856262291,1000.0
24,8797,10610,14867,11341,11693,11240,146408.819950454,229599.05872340355,605023.3519260862,1000.0
25,8732,10605,15152,11434,11786,11269,147826.12280091512,230852.19452844624,620109.0900939486,1000.0
26,8780,10655,15399,11554,11929,11351,149024.33709193874,232318.9960321896,632809.5355238414,1000.0
27,8793,10620,15568,11622,11899,11460,150420.23958966546,233929.91604546702,645111.5717730108,1000.0
28,8691,10534,15716,11572,11918,11451,151747.83519958594,235444.36956939098,659654.8236274286,1000.0
29,8719,10542,15866,11650,11993,11484,153298.56631028734,237033.14960387745,672544.8497995542,1000.0
30,8794,10595,16067,11755,12115,11586,154455.30911397908,238342.31934123236,688053.4696578573,1000.0
31,8566,10375,16138,11631,11927,11521,155784.9948476979,239798.46965816233,704258.2997880994,1000.0
32,8645,10318,16278,11676,11988,11577,157404.30030089582,241302.3335506187,719295.3091705447,1000.0
33,8741,10388,16476,11799,12098,11708,159081.58252481243,242589.41990548462,733442.5704198785,1000.0
34,8787,10426,16721,11926,12183,11825,160613.39309207903,244301.01056800658,749910.1998166364,1000.0
35,8828,10522,16978,12036,12320,11972,161976.3824754629,246069.8133120918,766734.6651648523,1000.0
36,8861,10581,17231,12139,12433,12101,163737.14003736564,247551.45658429727,782722.6346625165,1000.0
37,8723,10513,17427,12092,12421,12150,165574.61286072762,249121.17680747045,796573.4257989235,1000.0
38,8663,10454,17589,12128,12448,12130,166954.4524495819,250719.4515363591,814725.9024179679,1000.0
39,8670,10457,17700,12140,12550,12137,168923.30548327442,252554.24254772323,831625.9017060555,1000.0
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1001.0
1,11634,12930,11600,12067,12840,11257,112128.29682321983,207934.65206460215,388694.5789563397,1001.0
2,11314,12725,11898,11770,12610,11557,113636.42003822682,208690.62214055445,397657.60981422424,1001.0
3,11221,12534,12137,11673,12559,11660,114803.70990208905,209544.58484540353,405303.30684129795,1001.0
4,11037,12287,12304,11570,12450,11608,116937.95627422743,210484.83009422405,414533.50920117425,1001.0
5,10937,12101,12508,11530,12427,11589,118540.62156300795,211337.63820146004,423042.5210719742,1001.0
6,10780,11846,12629,11417,12342,11496,120049.1489760071,212296.40528870746,432188.20507074083,1001.0
7,10631,11637,12772,11327,12267,11446,121553.1538241855,213129.85642792977,442290.02787739487,1001.0
8,10550,11465,12887,11324,12194,11384,122968.88205086054,214027.79050002346,449674.9392907966,1001.0
9,10178,10921,12562,10926,11786,10949,124334.15699720531,214746.22676366003,457513.16833295836,1001.0
10,10243,10688,12584,10883,11727,10905,125361.34514429688,215511.50336937502,467206.9000619818,1001.0
11,10062,10407,12536,10687,11547,10771,126314.35895192351,216286.85586399076,475167.8131094886,1001.0
12,9999,10246,12613,10616,11498,10744,127242.64471309193,217081.1390008778,485305.95007814834,1001.0
13,9873,10105,12697,10513,11446,10716,128389.24007270012,217701.41331183587,495179.7652335375,1001.0
14,9859,9984,12882,10527,11462,10736,129494.6631943762,218650.90746323037,505329.5677982859,1001.0
15,9835,9871,13062,10553,11458,10757,130512.24881124774,219447.0522607256,516580.4992230912,1001.0
16,9685,9712,13124,10522,11351,10648,131541.79071521378,220329.50478739533,526881.1926576769,1001.0
17,9740,9636,13292,10600,11345,10723,132560.9597146964,221393.39958921509,538983.5610306475,1001.0
18,9757,9521,13420,10706,11274,10718,134227.88702288942,222304.57188442445,552546.3531210106,1001.0
19,9605,9405,13482,10655,11199,10638,135339.92882736278,222861.09468045668,564975.2860098046,1001.0
20,9708,9315,13634,10741,11245,10671,136553.4669849505,223701.4965813797,575868.4566130899,1001.0
21,9765,9288,13834,10812,11328,10747,138008.8688534668,224486.7380301363,592154.6484895165,1001.0
22,9865,9252,14072,10920,11409,10860,139121.78877690807,225221.04897505045,605400.8730482061,1001.0
23,9913,9242,14365,10996,11516,11008,140184.7734834105,226261.31725369304,616637.6170315684,1001.0
24,9937,9233,14573,11089,11592,11062,141524.28292412515,227624.6350851777,628957.731719662,1001.0
25,9927,9202,14776,11176,11592,11137,142903.44993403886,229018.40173049772,640210.2578868455,1001.0
26,9987,9130,15011,11206,11661,11261,144179.31926348942,230206.25094982574,649990.4568625939,1001.0
27,9987,9086,15207,11287,11683,11310,145756.79223484962,231444.89668246647,662191.2375756776,1001.0
28,9909,9012,15322,11255,11683,11305,147312.56046284188,232470.06140167522,674545.8459958019,1001.0
29,10033,8976,15504,11328,11770,11415,148769.28574238715,233751.71913706878,688679.9485683845,1001.0
30,10069,8940,15758,11338,11887,11542,150096.96493493736,235042.76955889404,700926.3969706229,1001.0
31,9850,8847,15818,11258,11768,11489,152511.9443104254,236539.6330833301,714765.3226843973,1001.0
32,10010,8804,15915,11318,11826,11585,153668.6691960306,237941.55485988845,730922.310777949,1001.0
33,10189,8770,16126,11467,11937,11681,155123.7700545174,239497.11904043128,747109.7760061851,1001.0
34,10317,8748,16286,11534,12046,11771,156265.52410494254,241014.96492889756,762278.9256519004,1001.0
35,10437,8751,16495,11627,12154,11902,157472.09387653976,242469.47554661482,775800.1703366481,1001.0
36,10486,8761,16749,11711,12289,11996,158829.2486848006,243986.15135442393,791435.2941389725,1001.0
37,10351,8706,16928,11723,12233,12029,160366.20918007437,245646.78697258089,812778.1323329278,1001.0
38,10309,8633,17082,11722,12221,12081,162070.18964334455,247333.49283107664,829158.2554883065,1001.0
39,10416,8569,17250,11767,12315,12153,163746.65084456964,248911.58386862802,846308.352558102,1001.0
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1002.0
1,11460,13480,11484,12362,12876,11186,112307.8620339091,208003.4063943643,388843.37206927355,1002.0
2,11135,13658,11641,12193,12798,11443,113650.92870774434,208813.158996337,394802.013775216,1002.0
3,10844,13714,11716,12100,12670,11504,115467.70723829826,209787.66417026694,401085.21115347336,1002.0
4,10550,13638,11775,11998,12507,11458,117280.1139352068,210867.97801117253,410122.9436416162,1002.0
5,10391,13683,11871,12007,12484,11454,118905.74933036942,211930.2619321397,419104.3870582999,1002.0
6,10176,13527,11840,11860,12311,11372,120701.94576029827,212883.9271896602,428022.7918186822,1002.0
7,10010,13426,11853,11750,12247,11292,122100.21669375205,213729.67007371737,437506.3048584237,1002.0
8,9879,13375,11912,11693,12142,11331,123495.41221500582,214784.54586612328,446244.4346693581,1002.0
9,9494,12852,11567,11248,11642,11023,124969.82058339038,215584.0526571736,459174.3408679772,1002.0
10,9374,12914,11478,11155,11639,10972,126022.022261945,216450.1856978217,467727.0869617447,1002.0
11,9102,12697,11362,10941,11403,10817,127276.97707779474,216886.95349510573,475868.36262106145,1002.0
12,8975,12728,11413,10886,11398,10832,128408.82174358897,217777.7237559109,484788.44197653193,1002.0
13,8825,12657,11409,10804,11367,10720,129590.32535874967,218618.09848128023,499523.2017585708,1002.0
14,8765,12747,11500,10835,11385,10792,130559.97528818325,219513.1242873057,510177.2090996601,1002.0
15,8736,12796,11574,10862,11425,10819,131624.19549585023,220573.70382381807,520565.0842183181,1002.0
16,8578,12656,11629,10803,11320,10740,132906.8508220676,221401.27053692858,528435.9482040593,1002.0
17,8569,12676,11697,10865,11308,10769,134201.35653762726,222470.94815538343,539091.0232772869,1002.0
18,8509,12534,11740,10861,11212,10710,135402.7854828632,223507.16693463654,547020.6499124864,1002.0
