time,moved_low,moved_med,moved_high,seed
0,11653.0,12936.0,11231.0,1000.0
1,1070.0,438.0,294.0,1000.0
2,275.0,379.0,725.0,1000.0
3,385.0,404.0,444.0,1000.0
4,372.0,376.0,374.0,1000.0
5,352.0,310.0,318.0,1000.0
6,342.0,305.0,411.0,1000.0
7,347.0,344.0,386.0,1000.0
8,347.0,357.0,379.0,1000.0
9,566.0,568.0,670.0,1000.0
10,434.0,559.0,456.0,1000.0
11,434.0,589.0,516.0,1000.0
12,371.0,448.0,437.0,1000.0
13,394.0,500.0,417.0,1000.0
14,366.0,394.0,396.0,1000.0
15,408.0,397.0,386.0,1000.0
16,585.0,586.0,516.0,1000.0
17,440.0,466.0,482.0,1000.0
18,538.0,541.0,438.0,1000.0
19,505.0,702.0,568.0,1000.0
20,486.0,564.0,433.0,1000.0
21,430.0,413.0,373.0,1000.0
22,355.0,347.0,364.0,1000.0
23,310.0,317.0,372.0,1000.0
24,369.0,311.0,304.0,1000.0
25,464.0,480.0,355.0,1000.0
26,450.0,449.0,303.0,1000.0
27,565.0,452.0,470.0,1000.0
28,561.0,674.0,514.0,1000.0
29,491.0,550.0,404.0,1000.0
30,457.0,485.0,356.0,1000.0
31,654.0,744.0,572.0,1000.0
32,515.0,601.0,448.0,1000.0
33,466.0,474.0,400.0,1000.0
34,459.0,445.0,388.0,1000.0
35,409.0,411.0,342.0,1000.0
36,335.0,334.0,314.0,1000.0
37,604.0,596.0,468.0,1000.0
38,647.0,657.0,433.0,1000.0
39,584.0,666.0,419.0,1000.0
0,11653.0,12936.0,11231.0,1001.0
1,989.0,374.0,285.0,1001.0
2,199.0,332.0,653.0,1001.0
3,324.0,377.0,479.0,1001.0
4,324.0,358.0,378.0,1001.0
5,285.0,357.0,330.0,1001.0
6,312.0,413.0,377.0,1001.0
7,324.0,332.0,355.0,1001.0
8,347.0,300.0,323.0,1001.0
9,479.0,610.0,582.0,1001.0
10,395.0,500.0,494.0,1001.0
11,389.0,576.0,550.0,1001.0
12,317.0,402.0,418.0,1001.0
13,328.0,470.0,479.0,1001.0
14,311.0,359.0,362.0,1001.0
